leukoregister,exel,operation
dm_assessment_age
dm_head_status
dm_head_age_attained
dm_head_age_attained_precision
dm_head_age_attained_year
dm_head_status_lost
dm_head_age_lost
dm_head_age_lost_precision
dm_head_age_lost_year
dm_head_age_precision
dm_head_comments
dm_roll_status
dm_roll_age_attained
dm_roll_age_attained_precision
dm_roll_age_attained_year
dm_roll_status_lost
dm_roll_age_lost
dm_roll_age_lost_precision
dm_roll_age_lost_year
dm_roll_comments
dm_crawl_status,Entwicklung/Status Fortb. Bauchlage,copy_int
dm_crawl_age_attained,Entwicklung/Fortb. Bauchlage,months_to_year
dm_crawl_age_attained_precision,Entwicklung/Fortb. Bauchlage,precision
dm_crawl_age_attained_year,Überblick/Geburtsdatum;Entwicklung/Fortb. Bauchlage,months_to_date_year
dm_crawl_status_lost
dm_crawl_age_lost
dm_crawl_age_lost_precision
dm_crawl_age_lost_year
dm_crawl_comments
dm_get_to_sit_status
dm_get_to_sit_age_attained
dm_get_to_sit_age_attained_precision
dm_get_to_sit_age_attained_year
dm_get_to_sit_status_lost
dm_get_to_sit_age_lost
dm_get_to_sit_age_lost_precision
dm_get_to_sit_age_lost_year
dm_get_to_sit_age_precision
dm_get_to_sit_comments
dm_sit_status,Entwicklung/Status Freies Sitzen,copy_int
dm_sit_age_attained,Entwicklung/Freies Sitzen ,months_to_year
dm_sit_age_attained_precision,Entwicklung/Freies Sitzen ,precision
dm_sit_age_attained_year,Überblick/Geburtsdatum;Entwicklung/Freies Sitzen ,months_to_date_year
dm_sit_status_lost
dm_sit_age_lost
dm_sit_age_lost_precision
dm_sit_age_lost_year
dm_sit_age_precision
dm_sit_comments
dm_pull_stand_status
dm_pull_stand_age_attained
dm_pull_stand_age_attained_precision
dm_pull_stand_age_attained_year
dm_pull_stand_status_lost
dm_pull_stand_age_lost
dm_pull_stand_age_lost_precision
dm_pull_stand_age_lost_year
dm_pull_stand_age_precision
dm_pull_stand_comments
dm_stand_hold_status
dm_stand_hold_age_attained
dm_stand_hold_age_attained_precision
dm_stand_hold_age_attained_year
dm_stand_hold_status_lost
dm_stand_hold_age_lost
dm_stand_hold_age_lost_precision
dm_stand_hold_age_lost_year
dm_stand_hold_age_precision
dm_stand_hold_comments
dm_stand_alone_status
dm_stand_alone_age_attained
dm_stand_alone_age_attained_precision
dm_stand_alone_age_attained_year
dm_stand_alone_status_lost
dm_stand_alone_age_lost
dm_stand_alone_age_lost_precision
dm_stand_alone_age_lost_year
dm_stand_alone_age_precision
dm_stand_alone_comments
dm_walk_well_status,Entwicklung/Status Freies Gehen,copy_int
dm_walk_well_age_attained,Entwicklung/Freies Gehen,months_to_year
dm_walk_well_age_attained_precision,Entwicklung/Freies Gehen,precision
dm_walk_well_age_attained_year,Überblick/Geburtsdatum;Entwicklung/Freies Gehen,months_to_date_year
dm_walk_well_status_lost
dm_walk_well_age_lost
dm_walk_well_age_lost_precision
dm_walk_well_age_lost_year
dm_walk_well_age_precision
dm_walk_well_comments
dm_walk_steps_status
dm_walk_steps_age_attained
dm_walk_steps_age_attained_precision
dm_walk_steps_age_attained_year
dm_walk_steps_status_lost
dm_walk_steps_age_lost
dm_walk_steps_age_lost_precision
dm_walk_steps_age_lost_year
dm_walk_steps_age_precision
dm_walk_steps_comments
dm_speak_ns_status
dm_speak_ns_age_attained
dm_speak_ns_age_attained_precision
dm_speak_ns_age_attained_year
dm_speak_ns_status_lost
dm_speak_ns_age_lost
dm_speak_ns_age_lost_precision
dm_speak_ns_age_lost_year
dm_speak_ns_age_precision
dm_speak_ns_comments
dm_speak_1w_age_attained
dm_speak_1w_status
dm_speak_1w_age_attained_precision
dm_speak_1w_age_attained_year
dm_speak_1w_status_lost
dm_speak_1w_age_lost
dm_speak_1w_age_lost_precision
dm_speak_1w_age_lost_year
dm_speak_1w_age_precision
dm_speak_1w_comments
dm_speak_2w_status,Entwicklung/Status 2-Wort Sätze,copy_int
dm_speak_2w_age_attained,Entwicklung/2-Wort Sätze,months_to_year
dm_speak_2w_age_attained_precision,Entwicklung/2-Wort Sätze,precision
dm_speak_2w_age_attained_year,Überblick/Geburtsdatum;Entwicklung/2-Wort Sätze,months_to_date_year
dm_speak_2w_status_lost
dm_speak_2w_age_lost
dm_speak_2w_age_lost_precision
dm_speak_2w_age_lost_year
dm_speak_2w_age_precision
dm_speak_2w_comments
dm_speak_6w_status,Entwicklung/Status Ganze Sätze,copy_int
dm_speak_6w_age_attained,Entwicklung/Ganze Sätze,months_to_year
dm_speak_6w_age_attained_precision,Entwicklung/Ganze Sätze,precision
dm_speak_6w_age_attained_year,Überblick/Geburtsdatum;Entwicklung/Ganze Sätze,months_to_date_year
dm_speak_6w_status_lost
dm_speak_6w_age_lost
dm_speak_6w_age_lost_precision
dm_speak_6w_age_lost_year
dm_speak_6w_age_precision
dm_speak_6w_comments
dm_hands_together_status
dm_hands_together_age_attained
dm_hands_together_age_attained_precision
dm_hands_together_age_attained_year
dm_hands_together_status_lost
dm_hands_together_age_lost
dm_hands_together_age_lost_precision
dm_hands_together_age_lost_year
dm_hands_together_comments
dm_hands_together_age_precision
dm_reach_status
dm_reach_age_attained
dm_reach_age_attained_precision
dm_reach_status_lost
dm_reach_age_attained_year
dm_reach_age_lost
dm_reach_age_lost_precision
dm_reach_age_lost_year
dm_reach_age_precision
dm_reach_comments
dm_grasp_age_attained_precision
dm_grasp_status
dm_grasp_age_attained
dm_grasp_age_attained_year
dm_grasp_status_lost
dm_grasp_age_lost
dm_grasp_age_lost_precision
dm_grasp_age_lost_year
dm_grasp_age_precision
dm_grasp_comments
dm_smile_status
dm_smile_age_attained
dm_smile_age_attained_precision
dm_smile_age_attained_year
dm_smile_status_lost
